bin_id,bin_fasta,checkm_completeness,checkm_contamination
bin_003,"https://raw.githubusercontent.com/barbarahelena/metaboflow/master/assets/bin_003.fna",81.32,5.29
bin_004,"https://raw.githubusercontent.com/barbarahelena/metaboflow/master/assets/bin_004.fna",97.34,36.59
